packet_rate,failed_logins,event,action_label
63.78,0,Port Scan,ALERT
7.84,0,Normal,ALLOW
31.66,13,Brute Force,BLOCK_IP
11.45,1,Normal,ALLOW
17.0,12,Brute Force,BLOCK_IP
17.92,0,Normal,ALLOW
11.05,1,Normal,ALLOW
29.14,0,Normal,ALLOW
27.51,0,Normal,ALLOW
350.97,0,DDoS,RATE_LIMIT
21.15,6,Brute Force,BLOCK_IP
39.04,6,Brute Force,BLOCK_IP
26.41,1,Normal,ALLOW
24.5,1,Normal,ALLOW
44.04,4,Brute Force,BLOCK_IP
329.3,0,DDoS,RATE_LIMIT
27.46,1,Normal,ALLOW
19.52,1,Normal,ALLOW
7.54,0,Normal,ALLOW
48.95,5,Brute Force,BLOCK_IP
16.43,5,Brute Force,BLOCK_IP
17.14,0,Normal,ALLOW
21.3,0,Normal,ALLOW
9.4,1,Normal,ALLOW
10.93,0,Normal,ALLOW
17.15,11,Brute Force,BLOCK_IP
21.24,0,Normal,ALLOW
23.02,1,Normal,ALLOW
19.21,1,Normal,ALLOW
55.44,1,Port Scan,ALERT
11.63,1,Normal,ALLOW
19.75,1,Normal,ALLOW
514.48,0,DDoS,RATE_LIMIT
74.6,2,Port Scan,ALERT
15.86,0,Normal,ALLOW
17.57,1,Normal,ALLOW
21.72,0,Normal,ALLOW
9.88,0,Normal,ALLOW
17.48,1,Normal,ALLOW
5.61,0,Normal,ALLOW
6.09,1,Normal,ALLOW
28.51,0,Normal,ALLOW
11.99,1,Normal,ALLOW
48.51,0,Port Scan,ALERT
28.83,0,Normal,ALLOW
542.55,0,DDoS,RATE_LIMIT
48.67,6,Brute Force,BLOCK_IP
29.51,1,Normal,ALLOW
12.36,0,Normal,ALLOW
39.55,0,Port Scan,ALERT
12.92,1,Normal,ALLOW
14.32,1,Normal,ALLOW
948.92,0,DDoS,RATE_LIMIT
22.4,1,Normal,ALLOW
6.76,1,Normal,ALLOW
34.6,9,Brute Force,BLOCK_IP
24.35,14,Brute Force,BLOCK_IP
12.38,1,Normal,ALLOW
23.52,0,Normal,ALLOW
8.42,1,Normal,ALLOW
13.99,0,Normal,ALLOW
12.41,1,Normal,ALLOW
70.51,0,Port Scan,ALERT
60.58,1,Port Scan,ALERT
204.15,0,DDoS,RATE_LIMIT
20.7,1,Normal,ALLOW
21.25,1,Normal,ALLOW
14.92,1,Normal,ALLOW
45.6,10,Brute Force,BLOCK_IP
5.69,1,Normal,ALLOW
7.35,0,Normal,ALLOW
21.8,0,Normal,ALLOW
16.64,0,Normal,ALLOW
29.55,1,Normal,ALLOW
19.77,1,Normal,ALLOW
400.2,0,DDoS,RATE_LIMIT
5.97,0,Normal,ALLOW
24.41,15,Brute Force,BLOCK_IP
13.17,1,Normal,ALLOW
24.25,1,Normal,ALLOW
972.2,0,DDoS,RATE_LIMIT
28.29,9,Brute Force,BLOCK_IP
241.35,0,DDoS,RATE_LIMIT
625.08,0,DDoS,RATE_LIMIT
31.63,10,Brute Force,BLOCK_IP
8.46,1,Normal,ALLOW
29.4,1,Normal,ALLOW
22.86,0,Normal,ALLOW
24.88,0,Normal,ALLOW
15.84,1,Normal,ALLOW
6.96,0,Normal,ALLOW
347.47,0,DDoS,RATE_LIMIT
7.02,0,Normal,ALLOW
37.84,8,Brute Force,BLOCK_IP
6.45,1,Normal,ALLOW
8.91,1,Normal,ALLOW
391.83,0,DDoS,RATE_LIMIT
275.1,0,DDoS,RATE_LIMIT
9.57,0,Normal,ALLOW
44.0,0,Port Scan,ALERT
23.45,0,Normal,ALLOW
15.89,0,Normal,ALLOW
535.68,0,DDoS,RATE_LIMIT
11.19,1,Normal,ALLOW
8.97,1,Normal,ALLOW
30.72,1,Port Scan,ALERT
7.29,0,Normal,ALLOW
6.02,1,Normal,ALLOW
29.49,0,Normal,ALLOW
28.97,13,Brute Force,BLOCK_IP
24.08,0,Normal,ALLOW
578.78,0,DDoS,RATE_LIMIT
9.33,1,Normal,ALLOW
21.24,1,Normal,ALLOW
20.4,0,Normal,ALLOW
74.33,2,Port Scan,ALERT
5.38,0,Normal,ALLOW
17.58,0,Normal,ALLOW
31.58,7,Brute Force,BLOCK_IP
20.4,1,Normal,ALLOW
21.06,0,Normal,ALLOW
73.36,2,Port Scan,ALERT
25.02,1,Normal,ALLOW
14.7,1,Normal,ALLOW
8.21,0,Normal,ALLOW
636.49,0,DDoS,RATE_LIMIT
28.54,0,Normal,ALLOW
71.02,1,Port Scan,ALERT
10.17,0,Normal,ALLOW
6.73,0,Normal,ALLOW
48.86,0,Port Scan,ALERT
7.36,0,Normal,ALLOW
13.41,1,Normal,ALLOW
22.76,13,Brute Force,BLOCK_IP
22.04,1,Normal,ALLOW
25.36,0,Normal,ALLOW
596.83,0,DDoS,RATE_LIMIT
754.31,0,DDoS,RATE_LIMIT
13.71,0,Normal,ALLOW
26.94,1,Normal,ALLOW
15.45,0,Normal,ALLOW
425.63,0,DDoS,RATE_LIMIT
17.1,12,Brute Force,BLOCK_IP
32.74,6,Brute Force,BLOCK_IP
29.76,1,Normal,ALLOW
8.19,0,Normal,ALLOW
41.06,11,Brute Force,BLOCK_IP
73.36,0,Port Scan,ALERT
41.93,2,Port Scan,ALERT
800.7,0,DDoS,RATE_LIMIT
67.73,0,Port Scan,ALERT
14.44,0,Normal,ALLOW
30.21,12,Brute Force,BLOCK_IP
13.0,0,Normal,ALLOW
35.0,0,Port Scan,ALERT
924.31,0,DDoS,RATE_LIMIT
7.28,0,Normal,ALLOW
28.92,0,Normal,ALLOW
28.77,0,Normal,ALLOW
17.33,1,Normal,ALLOW
16.21,0,Normal,ALLOW
60.12,2,Port Scan,ALERT
40.64,0,Port Scan,ALERT
24.79,0,Normal,ALLOW
35.67,0,Port Scan,ALERT
17.36,0,Normal,ALLOW
29.9,1,Normal,ALLOW
553.22,0,DDoS,RATE_LIMIT
45.51,14,Brute Force,BLOCK_IP
22.65,0,Normal,ALLOW
8.57,1,Normal,ALLOW
25.92,0,Normal,ALLOW
7.53,0,Normal,ALLOW
27.04,11,Brute Force,BLOCK_IP
33.64,1,Port Scan,ALERT
27.3,1,Normal,ALLOW
34.07,0,Port Scan,ALERT
10.83,1,Normal,ALLOW
14.36,0,Normal,ALLOW
27.01,0,Normal,ALLOW
28.68,0,Normal,ALLOW
33.68,7,Brute Force,BLOCK_IP
501.01,0,DDoS,RATE_LIMIT
7.09,0,Normal,ALLOW
25.12,10,Brute Force,BLOCK_IP
15.61,1,Normal,ALLOW
13.26,1,Normal,ALLOW
17.32,0,Normal,ALLOW
15.13,1,Normal,ALLOW
12.25,15,Brute Force,BLOCK_IP
40.69,12,Brute Force,BLOCK_IP
39.77,6,Brute Force,BLOCK_IP
33.33,12,Brute Force,BLOCK_IP
14.37,0,Normal,ALLOW
7.07,0,Normal,ALLOW
10.59,1,Normal,ALLOW
42.08,8,Brute Force,BLOCK_IP
11.74,8,Brute Force,BLOCK_IP
29.82,0,Normal,ALLOW
42.65,2,Port Scan,ALERT
29.23,1,Normal,ALLOW
332.97,0,DDoS,RATE_LIMIT
18.67,4,Brute Force,BLOCK_IP
702.05,0,DDoS,RATE_LIMIT
33.37,10,Brute Force,BLOCK_IP
11.82,15,Brute Force,BLOCK_IP
28.97,1,Normal,ALLOW
74.51,0,Port Scan,ALERT
11.93,1,Normal,ALLOW
717.48,0,DDoS,RATE_LIMIT
25.53,15,Brute Force,BLOCK_IP
33.35,15,Brute Force,BLOCK_IP
24.41,7,Brute Force,BLOCK_IP
29.66,1,Normal,ALLOW
11.29,12,Brute Force,BLOCK_IP
12.74,1,Normal,ALLOW
34.11,6,Brute Force,BLOCK_IP
42.9,5,Brute Force,BLOCK_IP
15.42,0,Normal,ALLOW
34.54,5,Brute Force,BLOCK_IP
7.07,1,Normal,ALLOW
26.65,0,Normal,ALLOW
16.59,11,Brute Force,BLOCK_IP
14.41,0,Normal,ALLOW
17.01,0,Normal,ALLOW
8.76,0,Normal,ALLOW
23.74,0,Normal,ALLOW
48.8,14,Brute Force,BLOCK_IP
655.27,0,DDoS,RATE_LIMIT
6.59,0,Normal,ALLOW
50.74,0,Port Scan,ALERT
5.34,0,Normal,ALLOW
891.78,0,DDoS,RATE_LIMIT
25.32,0,Normal,ALLOW
799.93,0,DDoS,RATE_LIMIT
27.83,0,Normal,ALLOW
815.19,0,DDoS,RATE_LIMIT
28.62,1,Normal,ALLOW
502.28,0,DDoS,RATE_LIMIT
11.03,0,Normal,ALLOW
8.23,0,Normal,ALLOW
11.87,1,Normal,ALLOW
41.43,0,Port Scan,ALERT
23.92,1,Normal,ALLOW
47.91,2,Port Scan,ALERT
21.79,1,Normal,ALLOW
16.91,0,Normal,ALLOW
18.0,1,Normal,ALLOW
25.41,1,Normal,ALLOW
58.05,1,Port Scan,ALERT
24.8,0,Normal,ALLOW
307.21,0,DDoS,RATE_LIMIT
5.72,0,Normal,ALLOW
69.23,1,Port Scan,ALERT
65.2,2,Port Scan,ALERT
75.16,1,Port Scan,ALERT
13.76,1,Normal,ALLOW
20.92,0,Normal,ALLOW
51.87,2,Port Scan,ALERT
23.16,0,Normal,ALLOW
17.85,1,Normal,ALLOW
46.42,10,Brute Force,BLOCK_IP
56.18,0,Port Scan,ALERT
28.74,1,Normal,ALLOW
16.48,0,Normal,ALLOW
17.3,1,Normal,ALLOW
6.66,0,Normal,ALLOW
29.5,0,Normal,ALLOW
13.69,1,Normal,ALLOW
20.84,1,Normal,ALLOW
473.25,0,DDoS,RATE_LIMIT
56.86,2,Port Scan,ALERT
302.44,0,DDoS,RATE_LIMIT
37.6,1,Port Scan,ALERT
22.44,1,Normal,ALLOW
9.55,1,Normal,ALLOW
15.29,1,Normal,ALLOW
16.85,0,Normal,ALLOW
29.33,0,Normal,ALLOW
9.81,0,Normal,ALLOW
71.09,1,Port Scan,ALERT
11.96,0,Normal,ALLOW
5.8,1,Normal,ALLOW
8.02,0,Normal,ALLOW
13.9,1,Normal,ALLOW
491.42,0,DDoS,RATE_LIMIT
30.14,14,Brute Force,BLOCK_IP
5.98,0,Normal,ALLOW
17.03,1,Normal,ALLOW
7.04,1,Normal,ALLOW
37.85,0,Port Scan,ALERT
5.06,1,Normal,ALLOW
42.25,4,Brute Force,BLOCK_IP
33.89,7,Brute Force,BLOCK_IP
40.47,2,Port Scan,ALERT
28.1,1,Normal,ALLOW
20.46,0,Normal,ALLOW
18.28,1,Normal,ALLOW
23.69,1,Normal,ALLOW
8.69,0,Normal,ALLOW
38.53,10,Brute Force,BLOCK_IP
17.79,0,Normal,ALLOW
5.76,1,Normal,ALLOW
52.37,2,Port Scan,ALERT
14.93,1,Normal,ALLOW
43.46,0,Port Scan,ALERT
9.56,0,Normal,ALLOW
13.05,0,Normal,ALLOW
34.46,1,Port Scan,ALERT
7.99,0,Normal,ALLOW
23.72,12,Brute Force,BLOCK_IP
37.16,6,Brute Force,BLOCK_IP
21.22,1,Normal,ALLOW
7.17,0,Normal,ALLOW
23.42,0,Normal,ALLOW
796.35,0,DDoS,RATE_LIMIT
15.79,0,Normal,ALLOW
14.47,0,Normal,ALLOW
14.08,1,Normal,ALLOW
34.3,14,Brute Force,BLOCK_IP
13.9,0,Normal,ALLOW
23.21,12,Brute Force,BLOCK_IP
41.86,1,Port Scan,ALERT
380.27,0,DDoS,RATE_LIMIT
14.13,1,Normal,ALLOW
328.55,0,DDoS,RATE_LIMIT
17.46,11,Brute Force,BLOCK_IP
74.84,2,Port Scan,ALERT
32.58,2,Port Scan,ALERT
15.26,1,Normal,ALLOW
49.89,9,Brute Force,BLOCK_IP
14.95,1,Normal,ALLOW
46.7,9,Brute Force,BLOCK_IP
78.75,1,Port Scan,ALERT
9.27,0,Normal,ALLOW
25.52,1,Normal,ALLOW
18.92,1,Normal,ALLOW
53.83,0,Port Scan,ALERT
40.78,9,Brute Force,BLOCK_IP
29.2,1,Normal,ALLOW
51.27,0,Port Scan,ALERT
23.41,1,Normal,ALLOW
7.87,1,Normal,ALLOW
24.19,1,Normal,ALLOW
19.53,0,Normal,ALLOW
28.3,0,Normal,ALLOW
18.31,0,Normal,ALLOW
14.23,1,Normal,ALLOW
8.36,0,Normal,ALLOW
57.45,1,Port Scan,ALERT
46.12,1,Port Scan,ALERT
7.2,0,Normal,ALLOW
22.04,0,Normal,ALLOW
7.92,0,Normal,ALLOW
16.79,0,Normal,ALLOW
24.86,0,Normal,ALLOW
28.24,1,Normal,ALLOW
796.78,0,DDoS,RATE_LIMIT
15.21,0,Normal,ALLOW
66.54,0,Port Scan,ALERT
18.2,6,Brute Force,BLOCK_IP
12.66,11,Brute Force,BLOCK_IP
23.04,1,Normal,ALLOW
26.05,1,Normal,ALLOW
25.7,0,Normal,ALLOW
18.07,6,Brute Force,BLOCK_IP
16.57,8,Brute Force,BLOCK_IP
388.55,0,DDoS,RATE_LIMIT
20.84,1,Normal,ALLOW
47.94,0,Port Scan,ALERT
19.71,1,Normal,ALLOW
70.83,2,Port Scan,ALERT
22.84,1,Normal,ALLOW
16.57,1,Normal,ALLOW
18.49,0,Normal,ALLOW
17.57,0,Normal,ALLOW
13.88,0,Normal,ALLOW
49.19,1,Port Scan,ALERT
6.67,1,Normal,ALLOW
20.61,0,Normal,ALLOW
15.79,0,Normal,ALLOW
20.69,1,Normal,ALLOW
64.69,2,Port Scan,ALERT
26.97,0,Normal,ALLOW
18.34,0,Normal,ALLOW
19.33,0,Normal,ALLOW
8.79,0,Normal,ALLOW
65.35,2,Port Scan,ALERT
23.6,1,Normal,ALLOW
10.11,1,Normal,ALLOW
24.06,0,Normal,ALLOW
23.87,1,Normal,ALLOW
25.53,0,Normal,ALLOW
14.47,0,Normal,ALLOW
15.1,11,Brute Force,BLOCK_IP
17.56,1,Normal,ALLOW
16.0,7,Brute Force,BLOCK_IP
38.89,5,Brute Force,BLOCK_IP
5.31,0,Normal,ALLOW
22.35,1,Normal,ALLOW
22.9,0,Normal,ALLOW
13.64,0,Normal,ALLOW
967.26,0,DDoS,RATE_LIMIT
13.56,1,Normal,ALLOW
50.04,2,Port Scan,ALERT
21.52,14,Brute Force,BLOCK_IP
37.67,0,Port Scan,ALERT
15.56,5,Brute Force,BLOCK_IP
689.16,0,DDoS,RATE_LIMIT
5.45,1,Normal,ALLOW
19.82,1,Normal,ALLOW
19.13,1,Normal,ALLOW
24.75,0,Normal,ALLOW
65.36,1,Port Scan,ALERT
24.28,0,Normal,ALLOW
20.17,1,Normal,ALLOW
33.87,1,Port Scan,ALERT
47.37,9,Brute Force,BLOCK_IP
27.77,0,Normal,ALLOW
35.66,0,Port Scan,ALERT
38.28,1,Port Scan,ALERT
25.94,0,Normal,ALLOW
44.8,10,Brute Force,BLOCK_IP
381.92,0,DDoS,RATE_LIMIT
20.2,0,Normal,ALLOW
6.37,0,Normal,ALLOW
10.14,0,Normal,ALLOW
30.23,0,Port Scan,ALERT
291.41,0,DDoS,RATE_LIMIT
15.36,1,Normal,ALLOW
75.99,1,Port Scan,ALERT
16.64,0,Normal,ALLOW
66.88,0,Port Scan,ALERT
59.35,2,Port Scan,ALERT
16.31,0,Normal,ALLOW
19.93,12,Brute Force,BLOCK_IP
29.93,9,Brute Force,BLOCK_IP
31.69,0,Port Scan,ALERT
14.06,0,Normal,ALLOW
422.07,0,DDoS,RATE_LIMIT
18.8,5,Brute Force,BLOCK_IP
21.59,0,Normal,ALLOW
29.39,0,Normal,ALLOW
8.72,1,Normal,ALLOW
26.52,0,Normal,ALLOW
29.92,0,Normal,ALLOW
21.98,10,Brute Force,BLOCK_IP
27.07,11,Brute Force,BLOCK_IP
27.45,1,Normal,ALLOW
574.59,0,DDoS,RATE_LIMIT
61.25,0,Port Scan,ALERT
28.88,11,Brute Force,BLOCK_IP
59.37,0,Port Scan,ALERT
24.39,0,Normal,ALLOW
56.38,1,Port Scan,ALERT
552.61,0,DDoS,RATE_LIMIT
15.02,1,Normal,ALLOW
40.61,7,Brute Force,BLOCK_IP
9.55,0,Normal,ALLOW
6.89,0,Normal,ALLOW
14.33,1,Normal,ALLOW
74.87,1,Port Scan,ALERT
15.22,0,Normal,ALLOW
49.16,5,Brute Force,BLOCK_IP
44.68,11,Brute Force,BLOCK_IP
5.68,0,Normal,ALLOW
20.16,10,Brute Force,BLOCK_IP
21.8,0,Normal,ALLOW
19.88,0,Normal,ALLOW
70.0,2,Port Scan,ALERT
27.19,1,Normal,ALLOW
10.95,1,Normal,ALLOW
42.21,11,Brute Force,BLOCK_IP
23.06,1,Normal,ALLOW
25.17,1,Normal,ALLOW
25.89,8,Brute Force,BLOCK_IP
8.53,1,Normal,ALLOW
21.73,5,Brute Force,BLOCK_IP
30.65,2,Port Scan,ALERT
23.4,0,Normal,ALLOW
5.66,0,Normal,ALLOW
901.16,0,DDoS,RATE_LIMIT
21.07,1,Normal,ALLOW
74.63,2,Port Scan,ALERT
20.62,0,Normal,ALLOW
20.38,5,Brute Force,BLOCK_IP
48.15,2,Port Scan,ALERT
43.4,0,Port Scan,ALERT
13.63,1,Normal,ALLOW
32.08,5,Brute Force,BLOCK_IP
26.53,0,Normal,ALLOW
28.71,1,Normal,ALLOW
68.99,0,Port Scan,ALERT
26.71,1,Normal,ALLOW
29.63,0,Normal,ALLOW
25.0,0,Normal,ALLOW
17.12,0,Normal,ALLOW
11.72,1,Normal,ALLOW
64.94,0,Port Scan,ALERT
11.45,1,Normal,ALLOW
62.25,1,Port Scan,ALERT
29.61,1,Normal,ALLOW
27.51,1,Normal,ALLOW
11.81,0,Normal,ALLOW
25.56,1,Normal,ALLOW
7.94,1,Normal,ALLOW
17.45,1,Normal,ALLOW
32.17,12,Brute Force,BLOCK_IP
17.44,1,Normal,ALLOW
10.16,1,Normal,ALLOW
8.5,0,Normal,ALLOW
75.0,1,Port Scan,ALERT
785.75,0,DDoS,RATE_LIMIT
11.27,0,Normal,ALLOW
21.63,0,Normal,ALLOW
19.33,0,Normal,ALLOW
15.47,1,Normal,ALLOW
24.27,1,Normal,ALLOW
6.17,1,Normal,ALLOW
28.97,0,Normal,ALLOW
7.07,1,Normal,ALLOW
24.27,0,Normal,ALLOW
511.44,0,DDoS,RATE_LIMIT
12.22,1,Normal,ALLOW
75.78,2,Port Scan,ALERT
12.43,0,Normal,ALLOW
47.97,10,Brute Force,BLOCK_IP
21.59,1,Normal,ALLOW
15.4,11,Brute Force,BLOCK_IP
10.37,1,Normal,ALLOW
18.5,0,Normal,ALLOW
19.88,0,Normal,ALLOW
26.16,0,Normal,ALLOW
19.92,1,Normal,ALLOW
698.67,0,DDoS,RATE_LIMIT
16.86,0,Normal,ALLOW
13.01,4,Brute Force,BLOCK_IP
15.32,0,Normal,ALLOW
22.21,1,Normal,ALLOW
52.98,2,Port Scan,ALERT
25.48,0,Normal,ALLOW
5.06,0,Normal,ALLOW
11.8,1,Normal,ALLOW
7.58,0,Normal,ALLOW
273.27,0,DDoS,RATE_LIMIT
27.93,0,Normal,ALLOW
41.6,12,Brute Force,BLOCK_IP
52.3,2,Port Scan,ALERT
13.47,11,Brute Force,BLOCK_IP
23.96,0,Normal,ALLOW
25.16,0,Normal,ALLOW
23.1,1,Normal,ALLOW
26.23,0,Normal,ALLOW
46.13,15,Brute Force,BLOCK_IP
376.97,0,DDoS,RATE_LIMIT
29.69,0,Normal,ALLOW
63.5,1,Port Scan,ALERT
59.41,0,Port Scan,ALERT
39.03,0,Port Scan,ALERT
578.57,0,DDoS,RATE_LIMIT
12.82,0,Normal,ALLOW
22.44,0,Normal,ALLOW
39.63,1,Port Scan,ALERT
15.54,0,Normal,ALLOW
16.86,1,Normal,ALLOW
6.37,0,Normal,ALLOW
12.98,1,Normal,ALLOW
21.11,1,Normal,ALLOW
19.91,0,Normal,ALLOW
19.02,0,Normal,ALLOW
6.92,0,Normal,ALLOW
56.51,1,Port Scan,ALERT
66.24,2,Port Scan,ALERT
12.88,0,Normal,ALLOW
56.92,1,Port Scan,ALERT
455.0,0,DDoS,RATE_LIMIT
35.04,13,Brute Force,BLOCK_IP
73.83,1,Port Scan,ALERT
31.22,1,Port Scan,ALERT
992.27,0,DDoS,RATE_LIMIT
5.01,0,Normal,ALLOW
18.22,1,Normal,ALLOW
76.63,2,Port Scan,ALERT
998.35,0,DDoS,RATE_LIMIT
24.03,4,Brute Force,BLOCK_IP
15.05,0,Normal,ALLOW
16.99,1,Normal,ALLOW
26.84,0,Normal,ALLOW
49.91,1,Port Scan,ALERT
15.44,0,Normal,ALLOW
18.06,0,Normal,ALLOW
10.97,0,Normal,ALLOW
53.37,1,Port Scan,ALERT
72.64,1,Port Scan,ALERT
386.89,0,DDoS,RATE_LIMIT
6.05,0,Normal,ALLOW
27.76,0,Normal,ALLOW
15.69,0,Normal,ALLOW
14.79,1,Normal,ALLOW
10.46,1,Normal,ALLOW
24.95,0,Normal,ALLOW
7.24,1,Normal,ALLOW
29.56,0,Normal,ALLOW
955.79,0,DDoS,RATE_LIMIT
28.7,5,Brute Force,BLOCK_IP
9.18,1,Normal,ALLOW
251.99,0,DDoS,RATE_LIMIT
521.26,0,DDoS,RATE_LIMIT
71.89,1,Port Scan,ALERT
20.19,0,Normal,ALLOW
8.01,0,Normal,ALLOW
17.06,13,Brute Force,BLOCK_IP
5.92,1,Normal,ALLOW
68.98,1,Port Scan,ALERT
840.62,0,DDoS,RATE_LIMIT
20.74,0,Normal,ALLOW
27.09,0,Normal,ALLOW
59.86,0,Port Scan,ALERT
9.35,1,Normal,ALLOW
17.88,1,Normal,ALLOW
22.4,1,Normal,ALLOW
27.44,0,Normal,ALLOW
41.22,0,Port Scan,ALERT
31.48,12,Brute Force,BLOCK_IP
27.37,0,Normal,ALLOW
34.57,0,Port Scan,ALERT
14.78,0,Normal,ALLOW
303.61,0,DDoS,RATE_LIMIT
45.55,12,Brute Force,BLOCK_IP
26.3,1,Normal,ALLOW
25.24,1,Normal,ALLOW
28.29,0,Normal,ALLOW
7.17,1,Normal,ALLOW
402.12,0,DDoS,RATE_LIMIT
5.13,0,Normal,ALLOW
23.09,1,Normal,ALLOW
626.08,0,DDoS,RATE_LIMIT
78.11,0,Port Scan,ALERT
27.36,0,Normal,ALLOW
26.28,1,Normal,ALLOW
27.07,1,Normal,ALLOW
19.81,1,Normal,ALLOW
32.85,11,Brute Force,BLOCK_IP
63.9,2,Port Scan,ALERT
44.58,4,Brute Force,BLOCK_IP
26.97,0,Normal,ALLOW
26.7,1,Normal,ALLOW
880.47,0,DDoS,RATE_LIMIT
26.68,0,Normal,ALLOW
46.7,0,Port Scan,ALERT
22.44,1,Normal,ALLOW
284.67,0,DDoS,RATE_LIMIT
64.95,2,Port Scan,ALERT
27.04,0,Normal,ALLOW
26.8,0,Normal,ALLOW
26.98,1,Normal,ALLOW
8.22,0,Normal,ALLOW
10.72,0,Normal,ALLOW
328.61,0,DDoS,RATE_LIMIT
854.37,0,DDoS,RATE_LIMIT
25.8,0,Normal,ALLOW
11.47,1,Normal,ALLOW
21.48,14,Brute Force,BLOCK_IP
29.53,0,Normal,ALLOW
35.79,1,Port Scan,ALERT
20.85,1,Normal,ALLOW
25.47,1,Normal,ALLOW
14.28,10,Brute Force,BLOCK_IP
633.01,0,DDoS,RATE_LIMIT
29.07,0,Normal,ALLOW
14.8,0,Normal,ALLOW
28.3,0,Normal,ALLOW
831.05,0,DDoS,RATE_LIMIT
9.34,1,Normal,ALLOW
12.71,14,Brute Force,BLOCK_IP
16.66,15,Brute Force,BLOCK_IP
6.68,1,Normal,ALLOW
28.94,9,Brute Force,BLOCK_IP
20.52,0,Normal,ALLOW
881.93,0,DDoS,RATE_LIMIT
29.75,0,Normal,ALLOW
48.76,7,Brute Force,BLOCK_IP
21.19,1,Normal,ALLOW
